Accuracy, Threshold, MoveMeanSize, MinHertz, MaxHertz, StepBuffer, PeakAverage
0.855375,14000,32,1.5,3.2,10,3,
0.855375,15000,32,1.5,3.2,10,3,
0.855315,11000,32,1.5,2.9,10,3,
0.855315,12000,32,1.5,2.9,10,3,
0.855315,13000,32,1.5,2.9,10,3,
0.855272,12000,32,2.3,3.1,10,3,
0.855255,10000,32,1.5,3.1,10,3,
0.855255,8000,32,1.5,3.1,10,3,
0.855255,9000,32,1.5,3.1,10,3,
0.854847,11000,32,1.5,3.1,10,3,
0.854847,12000,32,1.5,3.1,10,3,
0.854847,13000,32,1.5,3.1,10,3,
0.854649,8000,32,2.2,2.4,10,3,
0.854567,13000,32,2,2.2,10,3,
0.853639,10000,32,2.3,3.1,10,3,
0.85334,10000,32,2.3,2.9,10,3,
0.852866,15000,32,1.5,3,10,3,
0.852866,14000,32,1.5,3,10,3,
0.851846,9000,32,2.3,3,10,3,
0.851828,9000,32,2.3,2.8,10,3,
0.851828,11000,32,2.3,2.8,10,3,
